URL,Имя файла,Статус,Метод
https://fincult.info/article/chto-budet-s-zamorozhennymi-pifami-v-2023-godu/,chto-budet-s-zamorozhennymi-pifami-v-2023-godu.html,success,playwright
https://fincult.info/article/zachem-nuzhny-depozitarnye-raspiski/,zachem-nuzhny-depozitarnye-raspiski.html,success,playwright
https://fincult.info/article/paevye-fondy-kak-oni-rabotayut-i-kak-na-nikh-zarabotat/,paevye-fondy-kak-oni-rabotayut-i-kak-na-nikh-zarabotat.html,success,playwright
https://fincult.info/article/nalogoviy-vychet/,nalogoviy-vychet.html,success,playwright
https://fincult.info/article/chto-chitayut-v-tsb-vybor-sergeya-shvetsova/,chto-chitayut-v-tsb-vybor-sergeya-shvetsova.html,success,playwright
https://fincult.info/article/u-moego-brokera-annulirovali-litsenziyu-chto-delat/,u-moego-brokera-annulirovali-litsenziyu-chto-delat.html,success,playwright
https://fincult.info/article/broker-kak-ego-vybrat-i-kak-s-nim-rabotat/,broker-kak-ego-vybrat-i-kak-s-nim-rabotat.html,success,playwright
https://fincult.info/article/kakie-nalogi-platit-investor/,kakie-nalogi-platit-investor.html,success,playwright
https://fincult.info/article/fyuchersy-i-optsiony-chto-eto-i-mozhno-li-na-nikh-zarabotat/,fyuchersy-i-optsiony-chto-eto-i-mozhno-li-na-nikh-zarabotat.html,success,playwright
https://fincult.info/article/zakrytye-paevye-fondy-v-chem-ikh-osobennosti-i-podkhodyat-li-oni-nachinayushchim-investoram/,zakrytye-paevye-fondy-v-chem-ikh-osobennosti-i-podkhodyat-li-oni-nachinayushchim-investoram.html,success,playwright
https://fincult.info/article/finansovye-konsultanty-zachem-k-nim-obrashchatsya/,finansovye-konsultanty-zachem-k-nim-obrashchatsya.html,success,playwright
https://fincult.info/article/nalogovye-vychety-na-dolgosrochnye-sberezheniya/,nalogovye-vychety-na-dolgosrochnye-sberezheniya.html,success,playwright
https://fincult.info/article/chto-takoe-foreks-forex-kak-rabotaet-torgovlya-na-etom-rynke/,chto-takoe-foreks-forex-kak-rabotaet-torgovlya-na-etom-rynke.html,success,playwright
https://fincult.info/article/kreditnyy-reyting-chto-eto-takoe-i-kak-im-polzovatsya/,kreditnyy-reyting-chto-eto-takoe-i-kak-im-polzovatsya.html,success,playwright
https://fincult.info/article/mify-i-pravda-o-dragotsennykh-metallakh/,mify-i-pravda-o-dragotsennykh-metallakh.html,success,playwright
https://fincult.info/article/mfo-kak-na-nikh-zarabotat/,mfo-kak-na-nikh-zarabotat.html,success,playwright
https://fincult.info/article/chto-takoe-marzhinalnaya-torgovlya-i-v-chem-ee-riski/,chto-takoe-marzhinalnaya-torgovlya-i-v-chem-ee-riski.html,success,playwright
https://fincult.info/article/chto-takoe-individualnyy-investitsionnyy-schet/,chto-takoe-individualnyy-investitsionnyy-schet.html,success,playwright
https://fincult.info/article/chto-takoe-doveritelnoe-upravlenie-i-zachem-ono-nachinayushchemu-investoru/,chto-takoe-doveritelnoe-upravlenie-i-zachem-ono-nachinayushchemu-investoru.html,success,advanced_requests
https://fincult.info/article/kak-nayti-poteryannye-aktsii/,kak-nayti-poteryannye-aktsii.html,success,playwright
https://fincult.info/article/obligatsii-chto-eto-takoe-i-kak-na-nikh-zarabotat/,obligatsii-chto-eto-takoe-i-kak-na-nikh-zarabotat.html,success,playwright
https://fincult.info/article/kak-ne-stoit-shutit-s-dengami-ili-vrednye-sovety-investoru/,kak-ne-stoit-shutit-s-dengami-ili-vrednye-sovety-investoru.html,success,playwright
https://fincult.info/article/kak-investirovat-v-zoloto-i-drugie-dragotsennye-metally/,kak-investirovat-v-zoloto-i-drugie-dragotsennye-metally.html,success,playwright
https://fincult.info/article/chto-takoe-veksel-i-pochemu-s-nim-nuzhno-byt-ostorozhnym/,chto-takoe-veksel-i-pochemu-s-nim-nuzhno-byt-ostorozhnym.html,success,playwright
https://fincult.info/article/dogovor-s-brokerom-na-chto-obratit-vnimanie/,dogovor-s-brokerom-na-chto-obratit-vnimanie.html,success,playwright
https://fincult.info/article/vy-stali-zhertvoy-finansovoy-piramidy/,vy-stali-zhertvoy-finansovoy-piramidy.html,success,playwright
https://fincult.info/article/vo-chto-investirovat-novichku-na-birzhe-chto-daet-status-kvala-i-v-kakikh-sluchayakh-pridetsya-prokh/,vo-chto-investirovat-novichku-na-birzhe-chto-daet-status-kvala-i-v-kakikh-sluchayakh-pridetsya-prokh.html,success,playwright
